#CANONICAL_CLASS_NAME "AUTHOR"
com.aelitis.azureus.activities.VuzeActivitiesConstants "TuxPaper"
com.aelitis.azureus.activities.VuzeActivitiesEntry "TuxPaper"
com.aelitis.azureus.activities.VuzeActivitiesListener "TuxPaper"
com.aelitis.azureus.activities.VuzeActivitiesLoadedListener "TuxPaper"
com.aelitis.azureus.activities.VuzeActivitiesManager "TuxPaper"
com.aelitis.azureus.core.AzureusCore "parg"
com.aelitis.azureus.core.AzureusCoreComponent "parg"
com.aelitis.azureus.core.AzureusCoreException "parg"
com.aelitis.azureus.core.AzureusCoreFactory "parg"
com.aelitis.azureus.core.AzureusCoreLifecycleAdapter "parg"
com.aelitis.azureus.core.AzureusCoreLifecycleListener "parg"
com.aelitis.azureus.core.AzureusCoreListener "parg"
com.aelitis.azureus.core.AzureusCoreOperation "Paul Gardner"
com.aelitis.azureus.core.AzureusCoreOperationListener "Paul Gardner"
com.aelitis.azureus.core.AzureusCoreOperationTask "Paul Gardner"
com.aelitis.azureus.core.AzureusCoreRunningListener "vuze"
com.aelitis.azureus.core.backup.BackupManager "Paul Gardner"
com.aelitis.azureus.core.backup.BackupManagerFactory "Paul Gardner"
com.aelitis.azureus.core.backup.impl.BackupManagerImpl "Paul Gardner"
com.aelitis.azureus.core.clientmessageservice.ClientMessageService "Alon Rohter"
com.aelitis.azureus.core.clientmessageservice.ClientMessageServiceClient "Alon Rohter"
com.aelitis.azureus.core.clientmessageservice.impl.AEClientService "Alon Rohter"
com.aelitis.azureus.core.clientmessageservice.impl.ClientConnection "Alon Rohter"
com.aelitis.azureus.core.clientmessageservice.impl.ClientMessage "Alon Rohter"
com.aelitis.azureus.core.clientmessageservice.impl.ClientMessageHandler "Alon Rohter"
com.aelitis.azureus.core.clientmessageservice.impl.NonBlockingReadWriteService "Alon Rohter"
com.aelitis.azureus.core.clientmessageservice.secure.impl.SecureMessageServiceClientHelper "Paul Gardner"
com.aelitis.azureus.core.clientmessageservice.secure.impl.SecureMessageServiceClientImpl "Paul Gardner"
com.aelitis.azureus.core.clientmessageservice.secure.impl.SecureMessageServiceClientMessageImpl "Paul Gardner"
com.aelitis.azureus.core.clientmessageservice.secure.SecureMessageServiceClient "Paul Gardner"
com.aelitis.azureus.core.clientmessageservice.secure.SecureMessageServiceClientAdapter "Paul Gardner"
com.aelitis.azureus.core.clientmessageservice.secure.SecureMessageServiceClientFactory "Paul Gardner"
com.aelitis.azureus.core.clientmessageservice.secure.SecureMessageServiceClientListener "Paul Gardner"
com.aelitis.azureus.core.clientmessageservice.secure.SecureMessageServiceClientMessage "Paul Gardner"
com.aelitis.azureus.core.cnetwork.ContentNetwork "Paul Gardner"
com.aelitis.azureus.core.cnetwork.ContentNetworkException "Paul Gardner"
com.aelitis.azureus.core.cnetwork.ContentNetworkListener "Paul Gardner"
com.aelitis.azureus.core.cnetwork.ContentNetworkManager "Paul Gardner"
com.aelitis.azureus.core.cnetwork.ContentNetworkManagerFactory "Paul Gardner"
com.aelitis.azureus.core.cnetwork.ContentNetworkPropertyChangeListener "Paul Gardner"
com.aelitis.azureus.core.cnetwork.impl.ContentNetworkImpl "Paul Gardner"
com.aelitis.azureus.core.cnetwork.impl.ContentNetworkManagerImpl "Paul Gardner"
com.aelitis.azureus.core.cnetwork.impl.ContentNetworkVuze "Paul Gardner"
com.aelitis.azureus.core.cnetwork.impl.ContentNetworkVuzeGeneric "Paul Gardner"
com.aelitis.azureus.core.content.AzureusContent "Paul Gardner"
