#CANONICAL_CLASS_NAME "AUTHOR"
cern.clhep.PhysicalConstants "wolfgang.hoschek@cern.ch"
cern.clhep.Units "wolfgang.hoschek@cern.ch"
cern.colt.Arrays "wolfgang.hoschek@cern.ch"
cern.colt.bitvector.BitMatrix "wolfgang.hoschek@cern.ch"
cern.colt.bitvector.BitVector "wolfgang.hoschek@cern.ch"
cern.colt.bitvector.QuickBitVector "wolfgang.hoschek@cern.ch"
cern.colt.buffer.DoubleBuffer "wolfgang.hoschek@cern.ch"
cern.colt.buffer.DoubleBuffer2D "wolfgang.hoschek@cern.ch"
cern.colt.buffer.DoubleBuffer2DConsumer "wolfgang.hoschek@cern.ch"
cern.colt.buffer.DoubleBuffer3D "wolfgang.hoschek@cern.ch"
cern.colt.buffer.DoubleBuffer3DConsumer "wolfgang.hoschek@cern.ch"
cern.colt.buffer.DoubleBufferConsumer "wolfgang.hoschek@cern.ch"
cern.colt.buffer.IntBuffer "wolfgang.hoschek@cern.ch"
cern.colt.buffer.IntBuffer2D "wolfgang.hoschek@cern.ch"
cern.colt.buffer.IntBuffer2DConsumer "wolfgang.hoschek@cern.ch"
cern.colt.buffer.IntBuffer3D "wolfgang.hoschek@cern.ch"
cern.colt.buffer.IntBuffer3DConsumer "wolfgang.hoschek@cern.ch"
cern.colt.buffer.IntBufferConsumer "wolfgang.hoschek@cern.ch"
cern.colt.buffer.ObjectBuffer "wolfgang.hoschek@cern.ch"
cern.colt.buffer.ObjectBufferConsumer "wolfgang.hoschek@cern.ch"
cern.colt.function.BooleanProcedure "UNKNOWN"
cern.colt.function.ByteComparator "wolfgang.hoschek@cern.ch"
cern.colt.function.ByteProcedure "UNKNOWN"
cern.colt.function.CharComparator "wolfgang.hoschek@cern.ch"
cern.colt.function.CharProcedure "UNKNOWN"
cern.colt.function.Double27Function "UNKNOWN"
cern.colt.function.Double5Function "UNKNOWN"
cern.colt.function.Double9Function "UNKNOWN"
cern.colt.function.DoubleComparator "wolfgang.hoschek@cern.ch"
cern.colt.function.DoubleDoubleFunction "UNKNOWN"
cern.colt.function.DoubleDoubleProcedure "UNKNOWN"
cern.colt.function.DoubleFunction "UNKNOWN"
cern.colt.function.DoubleIntProcedure "UNKNOWN"
cern.colt.function.DoubleProcedure "UNKNOWN"
cern.colt.function.FloatComparator "wolfgang.hoschek@cern.ch"
cern.colt.function.FloatProcedure "UNKNOWN"
cern.colt.function.IntComparator "wolfgang.hoschek@cern.ch"
cern.colt.function.IntDoubleFunction "UNKNOWN"
cern.colt.function.IntDoubleProcedure "UNKNOWN"
cern.colt.function.IntFunction "UNKNOWN"
cern.colt.function.IntIntDoubleFunction "UNKNOWN"
cern.colt.function.IntIntDoubleProcedure "UNKNOWN"
cern.colt.function.IntIntFunction "UNKNOWN"
cern.colt.function.IntIntIntProcedure "UNKNOWN"
cern.colt.function.IntIntProcedure "UNKNOWN"
cern.colt.function.IntObjectProcedure "UNKNOWN"
cern.colt.function.IntProcedure "UNKNOWN"
cern.colt.function.LongComparator "wolfgang.hoschek@cern.ch"
cern.colt.function.LongObjectProcedure "UNKNOWN"
cern.colt.function.LongProcedure "UNKNOWN"
cern.colt.function.ObjectFunction "UNKNOWN"
cern.colt.function.ObjectObjectFunction "UNKNOWN"
cern.colt.function.ObjectProcedure "UNKNOWN"
cern.colt.function.ShortComparator "wolfgang.hoschek@cern.ch"
cern.colt.function.ShortProcedure "UNKNOWN"
