#CANONICAL_CLASS_NAME "AUTHOR"
org.apache.hadoop.conf.Configurable "UNKNOWN"
org.apache.hadoop.conf.Configuration "UNKNOWN"
org.apache.hadoop.conf.Configured "UNKNOWN"
org.apache.hadoop.conf.ConfServlet "UNKNOWN"
org.apache.hadoop.conf.Reconfigurable "UNKNOWN"
org.apache.hadoop.conf.ReconfigurableBase "UNKNOWN"
org.apache.hadoop.conf.ReconfigurationException "UNKNOWN"
org.apache.hadoop.conf.ReconfigurationServlet "UNKNOWN"
org.apache.hadoop.conf.ReconfigurationUtil "UNKNOWN"
org.apache.hadoop.fs.AbstractFileSystem "UNKNOWN"
org.apache.hadoop.fs.AvroFSInput "UNKNOWN"
org.apache.hadoop.fs.BlockLocation "UNKNOWN"
org.apache.hadoop.fs.BufferedFSInputStream "UNKNOWN"
org.apache.hadoop.fs.ByteBufferReadable "UNKNOWN"
org.apache.hadoop.fs.ChecksumException "UNKNOWN"
org.apache.hadoop.fs.ChecksumFileSystem "UNKNOWN"
org.apache.hadoop.fs.ChecksumFs "UNKNOWN"
org.apache.hadoop.fs.CommonConfigurationKeys "UNKNOWN"
org.apache.hadoop.fs.CommonConfigurationKeysPublic "UNKNOWN"
org.apache.hadoop.fs.ContentSummary "UNKNOWN"
org.apache.hadoop.fs.CreateFlag "UNKNOWN"
org.apache.hadoop.fs.DelegateToFileSystem "UNKNOWN"
org.apache.hadoop.fs.DelegationTokenRenewer "UNKNOWN"
org.apache.hadoop.fs.DF "UNKNOWN"
org.apache.hadoop.fs.DU "UNKNOWN"
org.apache.hadoop.fs.FileAlreadyExistsException "UNKNOWN"
org.apache.hadoop.fs.FileChecksum "UNKNOWN"
org.apache.hadoop.fs.FileContext "UNKNOWN"
org.apache.hadoop.fs.FileStatus "UNKNOWN"
org.apache.hadoop.fs.FileSystem "UNKNOWN"
org.apache.hadoop.fs.FileUtil "UNKNOWN"
org.apache.hadoop.fs.FilterFileSystem "UNKNOWN"
org.apache.hadoop.fs.FilterFs "UNKNOWN"
org.apache.hadoop.fs.FsConstants "UNKNOWN"
org.apache.hadoop.fs.FSDataInputStream "UNKNOWN"
org.apache.hadoop.fs.FSDataOutputStream "UNKNOWN"
org.apache.hadoop.fs.FSError "UNKNOWN"
