#CANONICAL_CLASS_NAME "AUTHOR"
com.bulletphysics.BulletGlobals "jezek2"
com.bulletphysics.BulletStats "jezek2"
com.bulletphysics.collision.broadphase.AxisSweep3 "jezek2"
com.bulletphysics.collision.broadphase.AxisSweep3_32 "jezek2"
com.bulletphysics.collision.broadphase.AxisSweep3Internal "jezek2"
com.bulletphysics.collision.broadphase.BroadphaseInterface "jezek2"
com.bulletphysics.collision.broadphase.BroadphaseNativeType "jezek2"
com.bulletphysics.collision.broadphase.BroadphasePair "jezek2"
com.bulletphysics.collision.broadphase.BroadphaseProxy "jezek2"
com.bulletphysics.collision.broadphase.CollisionAlgorithm "jezek2"
com.bulletphysics.collision.broadphase.CollisionAlgorithmConstructionInfo "jezek2"
com.bulletphysics.collision.broadphase.CollisionFilterGroups "jezek2"
com.bulletphysics.collision.broadphase.Dbvt "jezek2"
com.bulletphysics.collision.broadphase.DbvtAabbMm "jezek2"
com.bulletphysics.collision.broadphase.DbvtBroadphase "jezek2"
com.bulletphysics.collision.broadphase.DbvtLeafCollider "jezek2"
com.bulletphysics.collision.broadphase.DbvtProxy "jezek2"
com.bulletphysics.collision.broadphase.DbvtTreeCollider "jezek2"
com.bulletphysics.collision.broadphase.Dispatcher "jezek2"
com.bulletphysics.collision.broadphase.DispatcherInfo "jezek2"
com.bulletphysics.collision.broadphase.DispatchFunc "jezek2"
com.bulletphysics.collision.broadphase.HashedOverlappingPairCache "jezek2"
com.bulletphysics.collision.broadphase.OverlapCallback "jezek2"
com.bulletphysics.collision.broadphase.OverlapFilterCallback "jezek2"
com.bulletphysics.collision.broadphase.OverlappingPairCache "jezek2"
com.bulletphysics.collision.broadphase.OverlappingPairCallback "jezek2"
com.bulletphysics.collision.broadphase.package-info "Martin Dvorak "
com.bulletphysics.collision.broadphase.SimpleBroadphase "jezek2"
com.bulletphysics.collision.broadphase.SimpleBroadphaseProxy "jezek2"
com.bulletphysics.collision.dispatch.CollisionAlgorithmCreateFunc "jezek2"
com.bulletphysics.collision.dispatch.CollisionConfiguration "jezek2"
com.bulletphysics.collision.dispatch.CollisionDispatcher "jezek2"
com.bulletphysics.collision.dispatch.CollisionFlags "jezek2"
com.bulletphysics.collision.dispatch.CollisionObject "jezek2"
com.bulletphysics.collision.dispatch.CollisionObjectType "jezek2"
com.bulletphysics.collision.dispatch.CollisionWorld "jezek2"
com.bulletphysics.collision.dispatch.CompoundCollisionAlgorithm "jezek2"
com.bulletphysics.collision.dispatch.ConvexConcaveCollisionAlgorithm "jezek2"
com.bulletphysics.collision.dispatch.ConvexConvexAlgorithm "jezek2"
com.bulletphysics.collision.dispatch.ConvexPlaneCollisionAlgorithm "jezek2"
com.bulletphysics.collision.dispatch.ConvexTriangleCallback "jezek2"
com.bulletphysics.collision.dispatch.DefaultCollisionConfiguration "jezek2"
com.bulletphysics.collision.dispatch.DefaultNearCallback "jezek2"
com.bulletphysics.collision.dispatch.EmptyAlgorithm "jezek2"
com.bulletphysics.collision.dispatch.GhostObject "tomrbryn"
com.bulletphysics.collision.dispatch.GhostPairCallback "tomrbryn"
com.bulletphysics.collision.dispatch.ManifoldResult "jezek2"
com.bulletphysics.collision.dispatch.NearCallback "jezek2"
com.bulletphysics.collision.dispatch.package-info "Martin Dvorak "
com.bulletphysics.collision.dispatch.PairCachingGhostObject "tomrbryn"
com.bulletphysics.collision.dispatch.SimulationIslandManager "jezek2"
com.bulletphysics.collision.dispatch.SphereSphereCollisionAlgorithm "jezek2"
com.bulletphysics.collision.dispatch.UnionFind "jezek2"
com.bulletphysics.collision.narrowphase.ConvexCast "jezek2"
com.bulletphysics.collision.narrowphase.ConvexPenetrationDepthSolver "jezek2"
com.bulletphysics.collision.narrowphase.DiscreteCollisionDetectorInterface "jezek2"
com.bulletphysics.collision.narrowphase.GjkConvexCast "jezek2"
com.bulletphysics.collision.narrowphase.GjkEpaPenetrationDepthSolver "jezek2"
com.bulletphysics.collision.narrowphase.GjkEpaSolver "jezek2"
com.bulletphysics.collision.narrowphase.GjkPairDetector "jezek2"
com.bulletphysics.collision.narrowphase.ManifoldPoint "jezek2"
com.bulletphysics.collision.narrowphase.package-info "Martin Dvorak "
com.bulletphysics.collision.narrowphase.PersistentManifold "jezek2"
com.bulletphysics.collision.narrowphase.PointCollector "jezek2"
com.bulletphysics.collision.narrowphase.SimplexSolverInterface "jezek2"
com.bulletphysics.collision.narrowphase.SubsimplexConvexCast "jezek2"
com.bulletphysics.collision.narrowphase.TriangleConvexcastCallback "jezek2"
