#CANONICAL_CLASS_NAME "AUTHOR"
edu.uci.ics.jung.algorithms.blockmodel.StructurallyEquivalent "Danyel Fisher"
edu.uci.ics.jung.algorithms.blockmodel.VertexPartition "UNKNOWN"
edu.uci.ics.jung.algorithms.cluster.BicomponentClusterer "Joshua O"
edu.uci.ics.jung.algorithms.cluster.EdgeBetweennessClusterer "Scott White"
edu.uci.ics.jung.algorithms.cluster.VoltageClusterer "Joshua O"
edu.uci.ics.jung.algorithms.cluster.WeakComponentClusterer "Scott White"
edu.uci.ics.jung.algorithms.filters.EdgePredicateFilter "Joshua O"
edu.uci.ics.jung.algorithms.filters.Filter "danyelf"
edu.uci.ics.jung.algorithms.filters.FilterUtils "UNKNOWN"
edu.uci.ics.jung.algorithms.filters.KNeighborhoodFilter "Danyel Fisher"
edu.uci.ics.jung.algorithms.filters.VertexPredicateFilter "Joshua O"
edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow "Scott White"
edu.uci.ics.jung.algorithms.generators.EvolvingGraphGenerator "Scott White"
edu.uci.ics.jung.algorithms.generators.GraphGenerator "Scott White"
edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator "UNKNOWN"
edu.uci.ics.jung.algorithms.generators.random.BarabasiAlbertGenerator "Scott White"
edu.uci.ics.jung.algorithms.generators.random.EppsteinPowerLawGenerator "Scott White"
edu.uci.ics.jung.algorithms.generators.random.ErdosRenyiGenerator "William Giordano"
edu.uci.ics.jung.algorithms.generators.random.KleinbergSmallWorldGenerator "UNKNOWN"
edu.uci.ics.jung.algorithms.generators.random.MixedRandomGraphGenerator "UNKNOWN"
edu.uci.ics.jung.algorithms.importance.AbstractRanker "Scott White"
edu.uci.ics.jung.algorithms.importance.BetweennessCentrality "Scott White"
edu.uci.ics.jung.algorithms.importance.KStepMarkov "Scott White"
edu.uci.ics.jung.algorithms.importance.MarkovCentrality "Scott White and Joshua O"
edu.uci.ics.jung.algorithms.importance.RandomWalkBetweenness "Scott White"
edu.uci.ics.jung.algorithms.importance.RandomWalkSTBetweenness "Scott White"
edu.uci.ics.jung.algorithms.importance.Ranking "Scott White"
edu.uci.ics.jung.algorithms.importance.RelativeAuthorityRanker "Scott White"
edu.uci.ics.jung.algorithms.importance.WeightedNIPaths "Scott White"
edu.uci.ics.jung.algorithms.layout.AbstractLayout "Danyel Fisher"
edu.uci.ics.jung.algorithms.layout.AggregateLayout "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.BalloonLayout "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.CircleLayout "Masanori Harada"
edu.uci.ics.jung.algorithms.layout.DAGLayout "John Yesberg"
edu.uci.ics.jung.algorithms.layout.FRLayout "Scott White"
edu.uci.ics.jung.algorithms.layout.FRLayout2 "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.GraphElementAccessor "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.ISOMLayout "Yan Biao Boey"
edu.uci.ics.jung.algorithms.layout.KKLayout "Masanori Harada"
edu.uci.ics.jung.algorithms.layout.Layout "danyelf"
edu.uci.ics.jung.algorithms.layout.LayoutDecorator "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.PolarPoint "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.RadialTreeLayout "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.RadiusGraphElementAccessor "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.SpringLayout "Danyel Fisher"
edu.uci.ics.jung.algorithms.layout.SpringLayout2 "Danyel Fisher"
edu.uci.ics.jung.algorithms.layout.StaticLayout "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.TreeLayout "Karlheinz Toni"
edu.uci.ics.jung.algorithms.layout.util.RandomLocationTransformer "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.util.Relaxer "Tom Nelson"
edu.uci.ics.jung.algorithms.layout.util.VisRunner "Tom Nelson"
edu.uci.ics.jung.algorithms.layout3d.AbstractLayout "Danyel Fisher"
edu.uci.ics.jung.algorithms.layout3d.FRLayout "Scott White"
edu.uci.ics.jung.algorithms.layout3d.GraphElementAccessor "Tom Nelson"
