#CANONICAL_CLASS_NAME "AUTHOR"
org.apache.lucene.analysis.Analyzer "UNKNOWN"
org.apache.lucene.analysis.AnalyzerWrapper "UNKNOWN"
org.apache.lucene.analysis.CachingTokenFilter "UNKNOWN"
org.apache.lucene.analysis.CharFilter "UNKNOWN"
org.apache.lucene.analysis.NumericTokenStream "UNKNOWN"
org.apache.lucene.analysis.Token "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.CharTermAttribute "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.CharTermAttributeImpl "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.FlagsAttribute "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.FlagsAttributeImpl "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.KeywordAttribute "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.KeywordAttributeImpl "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.OffsetAttribute "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.OffsetAttributeImpl "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.PayloadAttribute "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.PayloadAttributeImpl "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.PositionIncrementAttribute "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.PositionIncrementAttributeImpl "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.PositionLengthAttribute "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.PositionLengthAttributeImpl "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.TermToBytesRefAttribute "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.TypeAttribute "UNKNOWN"
org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl "UNKNOWN"
org.apache.lucene.analysis.TokenFilter "UNKNOWN"
org.apache.lucene.analysis.Tokenizer "UNKNOWN"
org.apache.lucene.analysis.TokenStream "UNKNOWN"
org.apache.lucene.analysis.TokenStreamToAutomaton "UNKNOWN"
org.apache.lucene.codecs.BlockTermState "UNKNOWN"
org.apache.lucene.codecs.BlockTreeTermsReader "UNKNOWN"
org.apache.lucene.codecs.BlockTreeTermsWriter "UNKNOWN"
org.apache.lucene.codecs.Codec "UNKNOWN"
org.apache.lucene.codecs.CodecUtil "UNKNOWN"
org.apache.lucene.codecs.compressing.CompressingStoredFieldsFormat "UNKNOWN"
org.apache.lucene.codecs.compressing.CompressingStoredFieldsIndexReader "UNKNOWN"
org.apache.lucene.codecs.compressing.CompressingStoredFieldsIndexWriter "UNKNOWN"
org.apache.lucene.codecs.compressing.CompressingStoredFieldsReader "UNKNOWN"
org.apache.lucene.codecs.compressing.CompressingStoredFieldsWriter "UNKNOWN"
