#CANONICAL_CLASS_NAME "AUTHOR"
org.jblas.benchmark.ATLASDoubleMultiplicationBenchmark "Mikio L. Braun"
org.jblas.benchmark.ATLASFloatMultiplicationBenchmark "Mikio L. Braun"
org.jblas.benchmark.Benchmark "Mikio L. Braun"
org.jblas.benchmark.BenchmarkResult "Mikio L. Braun"
org.jblas.benchmark.JavaDoubleMultiplicationBenchmark "Mikio L. Braun"
org.jblas.benchmark.JavaFloatMultiplicationBenchmark "Mikio L. Braun"
org.jblas.benchmark.Main "Mikio L. Braun"
org.jblas.benchmark.package-info "Mikio L. Braun"
org.jblas.benchmark.Timer "Mikio L. Braun"
org.jblas.ComplexDouble "Mikio L. Braun"
org.jblas.ComplexDoubleMatrix "Mikio L. Braun"
org.jblas.ComplexFloat "Mikio L. Braun"
org.jblas.ComplexFloatMatrix "Mikio L. Braun"
org.jblas.ConvertsToDoubleMatrix "Mikio L. Braun"
org.jblas.ConvertsToFloatMatrix "mikio"
org.jblas.Decompose "UNKNOWN"
org.jblas.DoubleFunction "Mikio L. Braun"
org.jblas.DoubleMatrix "Mikio L. Braun"
org.jblas.Eigen "Mikio L. Braun|Nicolas Oury"
org.jblas.exceptions.LapackArgumentException "Mikio L. Braun"
org.jblas.exceptions.LapackConvergenceException "Mikio L. Braun"
org.jblas.exceptions.LapackException "Mikio L. Braun"
org.jblas.exceptions.LapackPositivityException "UNKNOWN"
org.jblas.exceptions.LapackSingularityException "Mikio L. Braun"
org.jblas.exceptions.package-info "Mikio L. Braun"
org.jblas.exceptions.SizeException "Mikio L. Braun"
org.jblas.exceptions.UnsupportedArchitectureException "mikio"
org.jblas.FloatFunction "Mikio L. Braun"
org.jblas.FloatMatrix "Mikio L. Braun"
org.jblas.Geometry "Mikio L. Braun"
org.jblas.Info "mikio"
org.jblas.JavaBlas "Mikio L. Braun"
org.jblas.MatrixFunctions "Mikio L. Braun"
org.jblas.NativeBlas "Mikio L. Braun"
org.jblas.NativeBlasLibraryLoader "Mikio L. Braun"
org.jblas.package-info "Mikio L. Braun"
org.jblas.ranges.AllRange "Mikio L. Braun"
org.jblas.ranges.IndicesRange "Mikio L. Braun"
org.jblas.ranges.IntervalRange "Mikio L. Braun"
org.jblas.ranges.package-info "Mikio L. Braun"
org.jblas.ranges.PointRange "Mikio L. Braun"
org.jblas.ranges.Range "Mikio L. Braun"
org.jblas.ranges.RangeUtils "Mikio L. Braun"
org.jblas.SimpleBlas "Mikio L. Braun|Nicolas Oury"
org.jblas.Singular "UNKNOWN"
org.jblas.Solve "Mikio L. Braun"
org.jblas.Trigonometry "Mikio L. Braun"
org.jblas.util.ArchFlavor "Mikio L. Braun"
org.jblas.util.Functions "Mikio L. Braun"
org.jblas.util.LibraryLoader "Mikio L. Braun"
org.jblas.util.Logger "Mikio L. Braun"
org.jblas.util.package-info "Mikio L. Braun"
org.jblas.util.Permutations "Mikio L. Braun"
org.jblas.util.Random "mikio"
org.jblas.util.SanityChecks "Mikio L. Braun"
