#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
edu.uci.ics.jung.visualization.transform.LayoutLensSupport edu.uci.ics.jung.visualization.jai.PerspectiveImageLensSupport
edu.uci.ics.jung.visualization.picking.RadiusPickSupport edu.uci.ics.jung.algorithms.layout.RadiusGraphElementAccessor
edu.uci.ics.jung.visualization3d.control.PickRotateBehavior edu.uci.ics.jung.visualization3d.control.MouseZoom
edu.uci.ics.jung.visualization.renderers.EdgeLabelRenderer edu.uci.ics.jung.visualization.renderers.VertexLabelRenderer
edu.uci.ics.jung.visualization.transform.MagnifyTransformer edu.uci.ics.jung.visualization.transform.shape.MagnifyShapeTransformer
edu.uci.ics.jung.visualization.transform.shape.MagnifyImageLensSupport edu.uci.ics.jung.visualization.transform.LayoutLensSupport
edu.uci.ics.jung.visualization.transform.shape.TransformingGraphics edu.uci.ics.jung.visualization.transform.shape.TransformingFlatnessGraphics
edu.uci.ics.jung.visualization.VisualizationModel edu.uci.ics.jung.visualization.DefaultVisualizationModel
edu.uci.ics.jung.graph.SparseMultigraph edu.uci.ics.jung.graph.SparseGraph
edu.uci.ics.jung.algorithms.layout.GraphElementAccessor edu.uci.ics.jung.algorithms.layout3d.GraphElementAccessor
edu.uci.ics.jung.io.graphml.parser.ElementParserRegistry edu.uci.ics.jung.io.graphml.parser.ElementParser
edu.uci.ics.jung.graph.DirectedOrderedSparseMultigraph edu.uci.ics.jung.graph.SparseMultigraph
edu.uci.ics.jung.visualization.transform.shape.HyperbolicShapeTransformer edu.uci.ics.jung.visualization.transform.shape.MagnifyShapeTransformer
edu.uci.ics.jung.visualization.transform.shape.HyperbolicShapeTransformer edu.uci.ics.jung.visualization.transform.MagnifyTransformer
edu.uci.ics.jung.graph.event.GraphEvent edu.uci.ics.jung.graph.DirectedOrderedSparseMultigraph
edu.uci.ics.jung.visualization3d.control.PickMouseBehavior edu.uci.ics.jung.visualization3d.control.MouseZoom
edu.uci.ics.jung.visualization3d.control.PickMouseBehavior edu.uci.ics.jung.visualization3d.control.PickRotateBehavior
edu.uci.ics.jung.visualization.transform.HyperbolicTransformer edu.uci.ics.jung.visualization.transform.shape.MagnifyShapeTransformer
