#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
org.apache.lucene.util.mutable.MutableValueFloat org.apache.lucene.util.mutable.MutableValueDate
org.apache.lucene.document.SortedBytesDocValuesField org.apache.lucene.document.FloatDocValuesField
org.apache.lucene.search.TermStatistics org.apache.lucene.search.CollectionStatistics
org.apache.lucene.search.similarities.Lambda org.apache.lucene.search.similarities.AfterEffect
org.apache.lucene.codecs.lucene40.values.VarSortedBytesImpl org.apache.lucene.codecs.lucene40.values.FixedSortedBytesImpl
org.apache.lucene.util.packed.BulkOperationPacked22 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.LongsRef org.apache.lucene.util.IntsRef
org.apache.lucene.codecs.NormsFormat org.apache.lucene.codecs.SegmentInfoReader
org.apache.lucene.codecs.lucene40.Lucene40SegmentInfoReader org.apache.lucene.codecs.lucene40.Lucene40SegmentInfoWriter
org.apache.lucene.util.packed.BulkOperationPacked16 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked16 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked6 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked6 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked6 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.PackedDataInput org.apache.lucene.util.packed.PackedDataOutput
org.apache.lucene.util.packed.Packed16ThreeBlocks org.apache.lucene.util.packed.Direct8
org.apache.lucene.document.DerefBytesDocValuesField org.apache.lucene.document.FloatDocValuesField
org.apache.lucene.document.DerefBytesDocValuesField org.apache.lucene.document.SortedBytesDocValuesField
org.apache.lucene.util.automaton.Lev1TParametricDescription org.apache.lucene.util.automaton.Lev2TParametricDescription
org.apache.lucene.util.packed.BulkOperationPacked13 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked13 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked13 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked13 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.codecs.lucene40.values.VarStraightBytesImpl org.apache.lucene.codecs.lucene40.values.FixedStraightBytesImpl
org.apache.lucene.store.LockObtainFailedException org.apache.lucene.store.AlreadyClosedException
org.apache.lucene.util.automaton.StatePair org.apache.lucene.util.automaton.BasicAutomata
org.apache.lucene.codecs.Codec org.apache.lucene.util.NamedSPILoader
org.apache.lucene.analysis.tokenattributes.FlagsAttributeImpl org.apache.lucene.analysis.tokenattributes.PositionIncrementAttributeImpl
org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl org.apache.lucene.util.mutable.MutableValueDate
org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl org.apache.lucene.util.mutable.MutableValueFloat
org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl org.apache.lucene.analysis.tokenattributes.PositionIncrementAttributeImpl
org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl org.apache.lucene.analysis.tokenattributes.FlagsAttributeImpl
org.apache.lucene.util.packed.BulkOperationPacked2 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked2 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked2 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked2 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked2 org.apache.lucene.util.packed.BulkOperationPacked13
org.apache.lucene.search.similarities.Distribution org.apache.lucene.search.similarities.Lambda
org.apache.lucene.util.packed.BulkOperationPacked14 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked14 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked14 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked14 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked14 org.apache.lucene.util.packed.BulkOperationPacked13
org.apache.lucene.util.packed.BulkOperationPacked14 org.apache.lucene.util.packed.BulkOperationPacked2
org.apache.lucene.util.mutable.MutableValueLong org.apache.lucene.util.mutable.MutableValueDate
org.apache.lucene.util.mutable.MutableValueLong org.apache.lucene.util.mutable.MutableValueFloat
org.apache.lucene.util.mutable.MutableValueLong org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl
org.apache.lucene.codecs.PerDocConsumer org.apache.lucene.codecs.PerDocProducer
org.apache.lucene.search.similarities.AfterEffectL org.apache.lucene.search.similarities.BasicModelIF
org.apache.lucene.index.DirectoryReader org.apache.lucene.index.IndexReader
org.apache.lucene.util.mutable.MutableValueDouble org.apache.lucene.util.mutable.MutableValueDate
org.apache.lucene.util.mutable.MutableValueDouble org.apache.lucene.util.mutable.MutableValueFloat
org.apache.lucene.util.mutable.MutableValueDouble org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl
org.apache.lucene.util.mutable.MutableValueDouble org.apache.lucene.util.mutable.MutableValueLong
org.apache.lucene.util.BytesRef org.apache.lucene.util.IntsRef
org.apache.lucene.util.BytesRef org.apache.lucene.util.LongsRef
org.apache.lucene.codecs.lucene40.Lucene40StoredFieldsWriter org.apache.lucene.codecs.lucene40.Lucene40TermVectorsWriter
org.apache.lucene.util.packed.BulkOperationPacked7 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked7 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked7 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked7 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked7 org.apache.lucene.util.packed.BulkOperationPacked13
org.apache.lucene.util.packed.BulkOperationPacked7 org.apache.lucene.util.packed.BulkOperationPacked2
org.apache.lucene.util.packed.BulkOperationPacked7 org.apache.lucene.util.packed.BulkOperationPacked14
org.apache.lucene.search.similarities.PerFieldSimilarityWrapper org.apache.lucene.codecs.NormsFormat
org.apache.lucene.search.TermRangeTermsEnum org.apache.lucene.search.TermRangeQuery
org.apache.lucene.codecs.TermVectorsFormat org.apache.lucene.codecs.TermVectorsReader
org.apache.lucene.codecs.TermVectorsFormat org.apache.lucene.codecs.SegmentInfoReader
org.apache.lucene.codecs.TermVectorsFormat org.apache.lucene.codecs.NormsFormat
org.apache.lucene.util.packed.BulkOperationPacked12 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked12 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked12 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked12 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked12 org.apache.lucene.util.packed.BulkOperationPacked13
org.apache.lucene.util.packed.BulkOperationPacked12 org.apache.lucene.util.packed.BulkOperationPacked2
org.apache.lucene.util.packed.BulkOperationPacked12 org.apache.lucene.util.packed.BulkOperationPacked14
org.apache.lucene.util.packed.BulkOperationPacked12 org.apache.lucene.util.packed.BulkOperationPacked7
org.apache.lucene.codecs.TermVectorsWriter org.apache.lucene.codecs.StoredFieldsWriter
org.apache.lucene.index.DocsAndPositionsEnum org.apache.lucene.index.DocsEnum
org.apache.lucene.util.packed.BulkOperationPacked15 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked15 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked15 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked15 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked15 org.apache.lucene.util.packed.BulkOperationPacked13
org.apache.lucene.util.packed.BulkOperationPacked15 org.apache.lucene.util.packed.BulkOperationPacked2
org.apache.lucene.util.packed.BulkOperationPacked15 org.apache.lucene.util.packed.BulkOperationPacked14
org.apache.lucene.util.packed.BulkOperationPacked15 org.apache.lucene.util.packed.BulkOperationPacked7
org.apache.lucene.util.packed.BulkOperationPacked15 org.apache.lucene.util.packed.BulkOperationPacked12
org.apache.lucene.search.similarities.BasicModelD org.apache.lucene.search.similarities.BasicModelP
org.apache.lucene.search.similarities.BasicModel org.apache.lucene.search.similarities.AfterEffect
org.apache.lucene.search.similarities.BasicModel org.apache.lucene.search.similarities.Distribution
org.apache.lucene.util.RecyclingByteBlockAllocator org.apache.lucene.util.RecyclingIntBlockAllocator
org.apache.lucene.codecs.lucene40.Lucene40StoredFieldsReader org.apache.lucene.codecs.lucene3x.Lucene3xStoredFieldsReader
org.apache.lucene.document.IntField org.apache.lucene.document.LongField
org.apache.lucene.codecs.lucene40.values.FixedDerefBytesImpl org.apache.lucene.codecs.lucene40.values.FixedSortedBytesImpl
org.apache.lucene.analysis.tokenattributes.PayloadAttributeImpl org.apache.lucene.analysis.tokenattributes.PositionIncrementAttributeImpl
org.apache.lucene.analysis.tokenattributes.PayloadAttributeImpl org.apache.lucene.analysis.tokenattributes.FlagsAttributeImpl
org.apache.lucene.analysis.tokenattributes.PayloadAttributeImpl org.apache.lucene.analysis.tokenattributes.TypeAttributeImpl
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked13
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked2
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked14
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked7
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked12
org.apache.lucene.util.packed.BulkOperationPacked19 org.apache.lucene.util.packed.BulkOperationPacked15
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked13
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked2
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked14
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked7
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked12
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked15
org.apache.lucene.util.packed.BulkOperationPacked18 org.apache.lucene.util.packed.BulkOperationPacked19
org.apache.lucene.util.automaton.Lev1ParametricDescription org.apache.lucene.util.automaton.Lev2TParametricDescription
org.apache.lucene.util.automaton.Lev1ParametricDescription org.apache.lucene.util.automaton.Lev1TParametricDescription
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked13
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked2
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked14
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked7
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked12
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked15
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked19
org.apache.lucene.util.packed.BulkOperationPacked8 org.apache.lucene.util.packed.BulkOperationPacked18
org.apache.lucene.store.ChecksumIndexInput org.apache.lucene.store.ChecksumIndexOutput
org.apache.lucene.search.BoostAttributeImpl org.apache.lucene.search.MaxNonCompetitiveBoostAttributeImpl
org.apache.lucene.util.MutableBits org.apache.lucene.util.Bits
org.apache.lucene.codecs.SegmentInfoFormat org.apache.lucene.codecs.NormsFormat
org.apache.lucene.codecs.SegmentInfoFormat org.apache.lucene.codecs.TermVectorsFormat
org.apache.lucene.index.NoMergePolicy org.apache.lucene.index.NoMergeScheduler
org.apache.lucene.search.TermRangeFilter org.apache.lucene.search.TermRangeQuery
org.apache.lucene.store.FlushInfo org.apache.lucene.store.MergeInfo
org.apache.lucene.util.automaton.AutomatonProvider org.apache.lucene.util.automaton.BasicAutomata
org.apache.lucene.util.automaton.AutomatonProvider org.apache.lucene.util.automaton.StatePair
org.apache.lucene.document.IntDocValuesField org.apache.lucene.document.FloatDocValuesField
org.apache.lucene.document.IntDocValuesField org.apache.lucene.document.SortedBytesDocValuesField
org.apache.lucene.document.IntDocValuesField org.apache.lucene.document.DerefBytesDocValuesField
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked3
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked22
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked16
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked6
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked13
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked2
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked14
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked7
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked12
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked15
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked19
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked18
org.apache.lucene.util.packed.BulkOperationPacked23 org.apache.lucene.util.packed.BulkOperationPacked8
org.apache.lucene.codecs.FieldInfosFormat org.apache.lucene.codecs.TermVectorsReader
org.apache.lucene.codecs.FieldInfosFormat org.apache.lucene.codecs.SegmentInfoReader
org.apache.lucene.codecs.FieldInfosFormat org.apache.lucene.codecs.NormsFormat
org.apache.lucene.codecs.FieldInfosFormat org.apache.lucene.search.similarities.PerFieldSimilarityWrapper
org.apache.lucene.codecs.FieldInfosFormat org.apache.lucene.codecs.TermVectorsFormat
org.apache.lucene.codecs.FieldInfosFormat org.apache.lucene.codecs.SegmentInfoFormat
org.apache.lucene.codecs.lucene41.Lucene41Codec org.apache.lucene.codecs.lucene40.Lucene40Codec
org.apache.lucene.util.automaton.ByteRunAutomaton org.apache.lucene.util.automaton.CharacterRunAutomaton
org.apache.lucene.util.packed.BulkOperationPacked20 org.apache.lucene.util.packed.BulkOperationPacked3
