#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
org.apache.lucene.index.LogMergePolicy org.apache.lucene.index.TieredMergePolicy
org.apache.lucene.index.PersistentSnapshotDeletionPolicy org.apache.lucene.index.SnapshotDeletionPolicy
org.apache.lucene.index.MultiDocsAndPositionsEnum org.apache.lucene.index.MultiDocsEnum
org.apache.lucene.index.IndexFormatTooNewException org.apache.lucene.index.IndexFormatTooOldException
org.apache.lucene.index.IndexReader org.apache.lucene.index.DirectoryReader
org.apache.lucene.store.FlushInfo org.apache.lucene.store.MergeInfo
org.apache.lucene.store.ChecksumIndexOutput org.apache.lucene.store.ChecksumIndexInput
org.apache.lucene.search.spans.SpanNearQuery org.apache.lucene.search.spans.SpanOrQuery
org.apache.lucene.search.spans.SpanNearPayloadCheckQuery org.apache.lucene.search.spans.SpanPayloadCheckQuery
org.apache.lucene.search.SearcherManager org.apache.lucene.index.ReaderManager
org.apache.lucene.search.similarities.BasicModelG org.apache.lucene.search.similarities.BasicModelBE
org.apache.lucene.search.similarities.DistributionSPL org.apache.lucene.search.similarities.DistributionLL
org.apache.lucene.search.similarities.LambdaTTF org.apache.lucene.search.similarities.LambdaDF
org.apache.lucene.search.similarities.NormalizationH1 org.apache.lucene.search.similarities.NormalizationH2
org.apache.lucene.search.TermRangeQuery org.apache.lucene.search.TermRangeTermsEnum
org.apache.lucene.search.TermRangeQuery org.apache.lucene.search.TermRangeFilter
org.apache.lucene.search.NumericRangeQuery org.apache.lucene.search.NumericRangeFilter
org.apache.lucene.document.FloatField org.apache.lucene.document.IntField
org.apache.lucene.document.ByteDocValuesField org.apache.lucene.document.IntDocValuesField
org.apache.lucene.document.LongDocValuesField org.apache.lucene.document.IntDocValuesField
org.apache.lucene.document.SortedBytesDocValuesField org.apache.lucene.document.DerefBytesDocValuesField
org.apache.lucene.document.LongField org.apache.lucene.document.IntField
org.apache.lucene.document.LongField org.apache.lucene.document.FloatField
org.apache.lucene.document.DoubleField org.apache.lucene.document.IntField
org.apache.lucene.document.DoubleField org.apache.lucene.document.FloatField
org.apache.lucene.document.DoubleField org.apache.lucene.document.LongField
org.apache.lucene.document.FloatDocValuesField org.apache.lucene.document.IntDocValuesField
org.apache.lucene.document.PackedLongDocValuesField org.apache.lucene.document.IntDocValuesField
org.apache.lucene.document.PackedLongDocValuesField org.apache.lucene.document.LongDocValuesField
org.apache.lucene.document.DoubleDocValuesField org.apache.lucene.document.IntDocValuesField
org.apache.lucene.document.DoubleDocValuesField org.apache.lucene.document.LongDocValuesField
org.apache.lucene.document.DoubleDocValuesField org.apache.lucene.document.PackedLongDocValuesField
org.apache.lucene.document.StraightBytesDocValuesField org.apache.lucene.document.DerefBytesDocValuesField
org.apache.lucene.document.StraightBytesDocValuesField org.apache.lucene.document.SortedBytesDocValuesField
org.apache.lucene.codecs.BlockTreeTermsReader org.apache.lucene.index.ReadersAndLiveDocs
org.apache.lucene.codecs.BlockTreeTermsReader org.apache.lucene.search.TopDocs
org.apache.lucene.codecs.BlockTreeTermsWriter org.apache.lucene.codecs.BlockTreeTermsReader
org.apache.lucene.codecs.FieldInfosWriter org.apache.lucene.codecs.FieldInfosReader
org.apache.lucene.codecs.lucene41.Lucene41PostingsWriter org.apache.lucene.codecs.BlockTreeTermsReader
org.apache.lucene.codecs.lucene41.Lucene41PostingsWriter org.apache.lucene.codecs.BlockTreeTermsWriter
org.apache.lucene.codecs.lucene41.Lucene41PostingsReader org.apache.lucene.codecs.BlockTreeTermsReader
org.apache.lucene.codecs.lucene41.Lucene41PostingsReader org.apache.lucene.codecs.BlockTreeTermsWriter
org.apache.lucene.codecs.lucene41.Lucene41PostingsReader org.apache.lucene.codecs.lucene41.Lucene41PostingsWriter
org.apache.lucene.codecs.lucene41.Lucene41PostingsReader org.apache.lucene.codecs.lucene41.Lucene41SkipReader
org.apache.lucene.codecs.lucene3x.Lucene3xFieldInfosFormat org.apache.lucene.codecs.lucene3x.Lucene3xNormsFormat
org.apache.lucene.codecs.MultiLevelSkipListWriter org.apache.lucene.codecs.lucene41.Lucene41SkipWriter
org.apache.lucene.codecs.lucene40.Lucene40PostingsReader org.apache.lucene.codecs.BlockTreeTermsReader
org.apache.lucene.codecs.lucene40.Lucene40PostingsReader org.apache.lucene.codecs.lucene41.Lucene41PostingsReader
org.apache.lucene.codecs.lucene40.Lucene40FieldInfosReader org.apache.lucene.codecs.lucene3x.Lucene3xFieldInfosReader
org.apache.lucene.codecs.lucene40.Lucene40TermVectorsFormat org.apache.lucene.codecs.lucene41.Lucene41StoredFieldsFormat
org.apache.lucene.codecs.lucene40.Lucene40SkipListReader org.apache.lucene.codecs.lucene3x.Lucene3xSkipListReader
org.apache.lucene.codecs.lucene40.Lucene40PostingsFormat org.apache.lucene.codecs.lucene41.Lucene41PostingsFormat
org.apache.lucene.codecs.lucene40.Lucene40StoredFieldsFormat org.apache.lucene.codecs.lucene41.Lucene41StoredFieldsFormat
org.apache.lucene.codecs.lucene40.Lucene40StoredFieldsFormat org.apache.lucene.codecs.lucene40.Lucene40TermVectorsFormat
org.apache.lucene.codecs.lucene40.values.VarSortedBytesImpl org.apache.lucene.codecs.lucene40.values.FixedSortedBytesImpl
org.apache.lucene.codecs.lucene40.values.Floats org.apache.lucene.codecs.lucene40.values.Ints
org.apache.lucene.codecs.lucene40.values.FixedDerefBytesImpl org.apache.lucene.codecs.lucene40.values.FixedSortedBytesImpl
org.apache.lucene.codecs.lucene40.Lucene40Codec org.apache.lucene.codecs.lucene41.Lucene41Codec
org.apache.lucene.codecs.lucene40.Lucene40TermVectorsReader org.apache.lucene.codecs.lucene3x.Lucene3xTermVectorsReader
org.apache.lucene.codecs.lucene40.Lucene40PostingsBaseFormat org.apache.lucene.codecs.lucene41.Lucene41PostingsBaseFormat
org.apache.lucene.codecs.lucene40.Lucene40StoredFieldsReader org.apache.lucene.codecs.lucene3x.Lucene3xStoredFieldsReader
org.apache.lucene.codecs.SegmentInfoReader org.apache.lucene.codecs.SegmentInfoWriter
org.apache.lucene.codecs.PostingsFormat org.apache.lucene.codecs.Codec
org.apache.lucene.codecs.MappingMultiDocsAndPositionsEnum org.apache.lucene.codecs.MappingMultiDocsEnum
org.apache.lucene.util.mutable.MutableValueDouble org.apache.lucene.util.mutable.MutableValueLong
org.apache.lucene.util.mutable.MutableValueStr org.apache.lucene.util.mutable.MutableValueLong
org.apache.lucene.util.mutable.MutableValueFloat org.apache.lucene.util.mutable.MutableValueLong
org.apache.lucene.util.mutable.MutableValueFloat org.apache.lucene.util.mutable.MutableValueDouble
org.apache.lucene.util.mutable.MutableValueFloat org.apache.lucene.util.mutable.MutableValueStr
org.apache.lucene.util.automaton.Lev2ParametricDescription org.apache.lucene.util.automaton.Lev1TParametricDescription
org.apache.lucene.util.automaton.Lev2ParametricDescription org.apache.lucene.util.automaton.Lev2TParametricDescription
org.apache.lucene.util.automaton.AutomatonProvider org.apache.lucene.util.automaton.MinimizationOperations
org.apache.lucene.util.automaton.StatePair org.apache.lucene.util.automaton.AutomatonProvider
org.apache.lucene.util.automaton.Transition org.apache.lucene.util.automaton.AutomatonProvider
org.apache.lucene.util.automaton.Transition org.apache.lucene.util.automaton.StatePair
org.apache.lucene.util.automaton.Lev1ParametricDescription org.apache.lucene.util.automaton.Lev1TParametricDescription
org.apache.lucene.util.automaton.Lev1ParametricDescription org.apache.lucene.util.automaton.Lev2ParametricDescription
org.apache.lucene.util.automaton.RunAutomaton org.apache.lucene.util.automaton.AutomatonProvider
org.apache.lucene.util.automaton.RunAutomaton org.apache.lucene.util.automaton.Transition
org.apache.lucene.util.automaton.CompiledAutomaton org.apache.lucene.codecs.BlockTreeTermsReader
org.apache.lucene.util.OpenBitSet org.apache.lucene.util.FixedBitSet
org.apache.lucene.util.IntBlockPool org.apache.lucene.util.ByteBlockPool
org.apache.lucene.util.fst.ByteSequenceOutputs org.apache.lucene.util.fst.CharSequenceOutputs
org.apache.lucene.util.fst.IntSequenceOutputs org.apache.lucene.util.fst.CharSequenceOutputs
org.apache.lucene.util.fst.IntSequenceOutputs org.apache.lucene.util.fst.ByteSequenceOutputs
org.apache.lucene.util.fst.FST org.apache.lucene.codecs.BlockTreeTermsReader
org.apache.lucene.util.fst.FST org.apache.lucene.codecs.BlockTreeTermsWriter
org.apache.lucene.util.fst.FST org.apache.lucene.codecs.lucene41.Lucene41PostingsWriter
org.apache.lucene.util.fst.FST org.apache.lucene.codecs.lucene41.Lucene41PostingsReader
org.apache.lucene.util.fst.Builder org.apache.lucene.util.fst.FST
org.apache.lucene.util.fst.NodeHash org.apache.lucene.codecs.BlockTreeTermsReader
org.apache.lucene.util.fst.NodeHash org.apache.lucene.codecs.BlockTreeTermsWriter
org.apache.lucene.util.fst.NodeHash org.apache.lucene.util.fst.FST
org.apache.lucene.util.fst.IntsRefFSTEnum org.apache.lucene.util.fst.BytesRefFSTEnum
org.apache.lucene.util.fst.FSTEnum org.apache.lucene.codecs.BlockTreeTermsReader
org.apache.lucene.util.fst.FSTEnum org.apache.lucene.codecs.BlockTreeTermsWriter
org.apache.lucene.util.fst.FSTEnum org.apache.lucene.util.fst.FST
org.apache.lucene.util.fst.FSTEnum org.apache.lucene.util.fst.NodeHash
org.apache.lucene.util.fst.Util org.apache.lucene.codecs.BlockTreeTermsReader
org.apache.lucene.util.fst.Util org.apache.lucene.codecs.BlockTreeTermsWriter
org.apache.lucene.util.fst.Util org.apache.lucene.util.fst.FST
org.apache.lucene.util.fst.Util org.apache.lucene.util.fst.NodeHash
org.apache.lucene.util.fst.Util org.apache.lucene.util.fst.FSTEnum
org.apache.lucene.util.RecyclingIntBlockAllocator org.apache.lucene.util.RecyclingByteBlockAllocator
org.apache.lucene.util.LongsRef org.apache.lucene.util.IntsRef
org.apache.lucene.util.MutableBits org.apache.lucene.util.Bits
org.apache.lucene.util.packed.BulkOperationPacked13 org.apache.lucene.util.packed.BulkOperationPacked10
org.apache.lucene.util.packed.BulkOperationPacked7 org.apache.lucene.util.packed.BulkOperationPacked10
org.apache.lucene.util.packed.BulkOperationPacked7 org.apache.lucene.util.packed.BulkOperationPacked13
