#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
java.net.DatagramSocketImpl java.net.AbstractPlainDatagramSocketImpl
java.net.InMemoryCookieStore java.net.CookieStore
java.net.CookieManager java.net.CookieStore
java.net.CookieManager java.net.InMemoryCookieStore
java.net.HttpCookie java.net.CookieStore
java.net.HttpCookie java.net.InMemoryCookieStore
java.net.HttpCookie java.net.CookieManager
java.net.InetAddress java.net.Inet4Address
java.net.ServerSocket java.net.DatagramSocket
java.net.Socket java.net.DatagramSocket
java.net.Socket java.net.ServerSocket
java.net.StandardSocketOptions java.net.SocketOption
java.net.SocketInputStream java.net.SocketOutputStream
java.net.URLStreamHandler java.net.URL
java.net.AbstractPlainSocketImpl java.net.Socket
java.net.SocketImpl java.net.Socket
java.net.Inet6Address java.net.Inet4Address
java.net.Inet6Address java.net.InetAddress
java.rmi.server.RMIClassLoader java.rmi.server.RMIClassLoaderSpi
java.rmi.server.RemoteRef java.rmi.server.RemoteStub
java.rmi.activation.ActivationException java.rmi.server.ServerCloneException
java.rmi.activation.ActivationGroupID java.rmi.activation.ActivationSystem
java.rmi.activation.ActivationGroup java.rmi.activation.ActivationSystem
java.rmi.activation.ActivationGroup java.rmi.activation.ActivationGroupID
java.rmi.activation.ActivationMonitor java.rmi.activation.ActivationGroup
java.rmi.activation.Activatable java.rmi.activation.ActivationSystem
java.rmi.ConnectException java.net.ConnectException
java.rmi.registry.LocateRegistry java.rmi.registry.Registry
java.rmi.UnknownHostException java.net.UnknownHostException
java.rmi.RemoteException java.rmi.server.ServerCloneException
java.rmi.RemoteException java.rmi.activation.ActivationException
java.text.spi.NumberFormatProvider java.text.spi.BreakIteratorProvider
java.lang.Exception java.lang.RuntimeException
java.lang.CharacterDataPrivateUse java.lang.CharacterDataUndefined
java.lang.invoke.ForceInline java.lang.invoke.DontInline
java.lang.Thread java.lang.ThreadGroup
java.lang.Error java.lang.RuntimeException
java.lang.Error java.lang.Exception
java.lang.VirtualMachineError java.lang.RuntimeException
java.lang.VirtualMachineError java.lang.Exception
java.lang.VirtualMachineError java.lang.Error
java.lang.InternalError java.lang.RuntimeException
java.lang.InternalError java.lang.Exception
java.lang.InternalError java.lang.Error
java.lang.InternalError java.lang.VirtualMachineError
java.lang.UnsupportedOperationException java.lang.RuntimeException
java.lang.UnsupportedOperationException java.lang.Exception
java.lang.UnsupportedOperationException java.lang.Error
java.lang.UnsupportedOperationException java.lang.VirtualMachineError
java.lang.UnsupportedOperationException java.lang.InternalError
java.lang.annotation.ContainerFor java.lang.annotation.Repeatable
java.lang.annotation.ContainedBy java.lang.annotation.Repeatable
java.lang.annotation.ContainedBy java.lang.annotation.ContainerFor
java.lang.reflect.GenericArrayType java.lang.reflect.ParameterizedType
java.lang.reflect.Proxy java.lang.reflect.InvocationHandler
java.lang.reflect.Method java.lang.reflect.Constructor
java.lang.management.MemoryMXBean java.lang.management.MemoryType
java.lang.management.MemoryMXBean java.lang.management.MemoryManagerMXBean
java.lang.management.MemoryNotificationInfo java.lang.management.MemoryPoolMXBean
java.lang.AbstractStringBuilder java.lang.String
java.lang.CharacterData02 java.lang.CharacterData0E
java.lang.Double java.lang.Float
java.lang.StringBuffer java.lang.StringBuilder
java.lang.Integer java.lang.Long
java.lang.SecurityException java.lang.RuntimeException
java.lang.SecurityException java.lang.Exception
java.lang.SecurityException java.lang.Error
java.lang.SecurityException java.lang.VirtualMachineError
java.lang.SecurityException java.lang.InternalError
java.lang.SecurityException java.lang.UnsupportedOperationException
java.lang.CharacterDataLatin1 java.lang.CharacterData0E
java.lang.CharacterDataLatin1 java.lang.CharacterData02
java.lang.StrictMath java.lang.Math
java.lang.IllegalArgumentException java.lang.RuntimeException
java.lang.IllegalArgumentException java.lang.Exception
java.lang.IllegalArgumentException java.lang.Error
java.lang.IllegalArgumentException java.lang.VirtualMachineError
java.lang.IllegalArgumentException java.lang.InternalError
java.lang.IllegalArgumentException java.lang.UnsupportedOperationException
java.lang.IllegalArgumentException java.lang.SecurityException
java.lang.IllegalStateException java.lang.RuntimeException
java.lang.IllegalStateException java.lang.Exception
java.lang.IllegalStateException java.lang.Error
java.lang.IllegalStateException java.lang.VirtualMachineError
java.lang.IllegalStateException java.lang.InternalError
java.lang.IllegalStateException java.lang.UnsupportedOperationException
java.lang.IllegalStateException java.lang.SecurityException
java.lang.IllegalStateException java.lang.IllegalArgumentException
java.lang.ReflectiveOperationException java.lang.RuntimeException
java.lang.ReflectiveOperationException java.lang.Exception
java.lang.ReflectiveOperationException java.lang.Error
java.lang.ReflectiveOperationException java.lang.VirtualMachineError
java.lang.ReflectiveOperationException java.lang.InternalError
java.lang.ReflectiveOperationException java.lang.UnsupportedOperationException
java.lang.ReflectiveOperationException java.lang.SecurityException
java.lang.ReflectiveOperationException java.lang.IllegalArgumentException
java.lang.ReflectiveOperationException java.lang.IllegalStateException
java.lang.Enum java.lang.EnumConstantNotPresentException
java.lang.Shutdown java.lang.ApplicationShutdownHooks
java.io.IOException java.lang.RuntimeException
java.io.IOException java.lang.Exception
java.io.IOException java.lang.Error
java.io.IOException java.lang.VirtualMachineError
java.io.IOException java.lang.InternalError
java.io.IOException java.lang.UnsupportedOperationException
java.io.IOException java.lang.SecurityException
java.io.IOException java.lang.IllegalArgumentException
java.io.IOException java.lang.IllegalStateException
java.io.IOException java.lang.ReflectiveOperationException
java.io.InputStream java.io.PushbackInputStream
java.io.Reader java.io.StringReader
java.io.PipedInputStream java.io.PipedOutputStream
java.io.StringBufferInputStream java.io.InputStream
java.io.FileOutputStream java.io.FileInputStream
java.io.FileSystem java.io.File
java.io.FilterInputStream java.io.InputStream
java.io.PipedReader java.io.PipedOutputStream
