#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
java.lang.CharacterDataPrivateUse java.lang.CharacterDataUndefined
java.nio.ByteBufferAsFloatBufferRB java.nio.ByteBufferAsDoubleBufferRL
java.nio.DirectCharBufferS java.nio.DirectCharBufferU
java.nio.DirectDoubleBufferRU java.nio.DirectDoubleBufferRS
java.nio.ByteBufferAsFloatBufferB java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsShortBufferRL java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsShortBufferRL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsShortBufferRB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsShortBufferRB java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsShortBufferRB java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsFloatBufferRL java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsFloatBufferRL java.nio.ByteBufferAsFloatBufferRB
java.nio.ByteBufferAsFloatBufferRL java.nio.ByteBufferAsShortBufferRL
java.nio.ByteBufferAsFloatBufferRL java.nio.ByteBufferAsShortBufferRB
java.nio.DirectIntBufferRU java.nio.DirectDoubleBufferRS
java.nio.DirectIntBufferRU java.nio.DirectDoubleBufferRU
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsFloatBufferL java.nio.ByteBufferAsFloatBufferB
java.nio.DirectFloatBufferRU java.nio.DirectDoubleBufferRS
java.nio.DirectFloatBufferRU java.nio.DirectDoubleBufferRU
java.nio.DirectFloatBufferRU java.nio.DirectIntBufferRU
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsDoubleBufferB
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsFloatBufferB
java.nio.ByteBufferAsShortBufferL java.nio.ByteBufferAsFloatBufferL
java.nio.DirectFloatBufferRS java.nio.DirectDoubleBufferRS
java.nio.DirectFloatBufferRS java.nio.DirectDoubleBufferRU
java.nio.DirectFloatBufferRS java.nio.DirectIntBufferRU
java.nio.DirectFloatBufferRS java.nio.DirectFloatBufferRU
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsDoubleBufferRL
java.nio.ByteBufferAsDoubleBufferRB java.nio.ByteBufferAsFloatBufferRB
